#미-패U01-1,13,60
index,Category,Path,Unit,Lesson,Sentence,Translate,Question_File,Question_During,Answer1_File,Answer1_During,Answer2_File,Answer2_During
#!int,!String,!String,!Int,!Int,!String,!String,!String,!Float,!String,!Float,!String,!Float
8,미드 영어회화,mid-unit2,2,14,따뜻하고 포근한 느낌은 들지 않아.,I'm not getting a warm fuzzy feeling.Fuzzy는 잔털이 보들보들하게 난 상태를 뜻하죠. 그래서 warm fuzzy는 한 덩어리로 쓰여서 따듯하고 아늑한 느낌을 주는 즉 '매우 편안하고 사람을 따듯하게 하는' 것을 가리키는 말로 사용 됩니다.,snd014_1_3_따뜻하고 포근한 느낌은 들지 않아,,snd014_1_3_I'm not getting a warm fuzzy feeling,,,
9,미드 영어회화,mid-unit2,2,14,짜증이 나지도 않아.,I'm not getting upset.,snd014_1_4_짜증이 나지도 않아,,snd014_1_4_I'm not getting upset,,,
10,미드 영어회화,mid-unit2,2,14,깊숙이 관여되어 있다는 느낌이 들지 않아.,I'm not getting involved.,snd014_1_5_깊숙이 관여되어 있다는 느낌이 들지 않아,,snd014_1_5_I'm not getting involved,,,
11,미드 영어회화,mid-unit2,2,15,가서 커피를 한 잔 더 가지고 올게.,I'm gonna go get another cup of coffee.,snd015_1_1_가서 커피를 한 잔 더 가지고 올게,,snd015_1_1_I'm gonna go get another cup of coffee,,,
12,미드 영어회화,mid-unit2,2,15,가서 증인을 데리고 올게.,I'm gonna go get the witness.,snd015_1_2_가서 증인을 데리고 올게,,snd015_1_2_I'm gonna go get the witness,,,
13,미드 영어회화,mid-unit2,2,15,가서 개를 데리고 올게.,I'm gonna go get my dog.,snd015_1_3_가서 개를 데리고 올게,,snd015_1_3_I'm gonna go get my dog,,,
14,미드 영어회화,mid-unit2,2,15,가서 비품을 가지고 올게.,I'm gonna go get some supplies.,snd015_1_4_가서 비품을 가지고 올게,,snd015_1_4_I'm gonna go get some supplies,,,
15,미드 영어회화,mid-unit2,2,15,가서 다른 사람의 의견을 더 들어보겠어요.,I'm gonna go get a second opinion.,snd015_1_5_가서 다른 사람의 의견을 더 들어보겠어요,,snd015_1_5_I'm gonna go get a second opinion,,,
16,미드 영어회화,mid-unit2,2,16,방금 유럽에서 돌아왔어.,I just got back from Europe.,snd016_1_1_방금 유럽에서 돌아왔어,,snd016_1_1_I just got back from Europe,,,
17,미드 영어회화,mid-unit2,2,16,방금 회의에서 돌아왔어.,I just got back from the meeting.,snd016_1_2_방금 회의에서 돌아왔어,,snd016_1_2_I just got back from the meeting,,,
18,미드 영어회화,mid-unit2,2,16,방금 데이트에서 돌아왔어.,I just got back from my date.,snd016_1_3_방금 데이트에서 돌아왔어,,snd016_1_3_I just got back from my date,,,
19,미드 영어회화,mid-unit2,2,16,방금 여동생의 결혼식에서 돌아왔어.,I just got back from my sister's wedding.,snd016_1_4_방금 여동생의 결혼식에서 돌아왔어,,snd016_1_4_I just got back from my sister's wedding,,,
20,미드 영어회화,mid-unit2,2,16,방금 자선 행사에서 돌아왔어.,I just got back from the charity event.,snd016_1_5_방금 자선 행사에서 돌아왔어,,snd016_1_5_I just got back from the charity event,,,
미-패U03-1,13,100
index,Category,Path,Unit,Lesson,Sentence,Translate,Question_File,Question_During,Answer1_File,Answer1_During,Answer2_File,Answer2_During
!int,!String,!String,!Int,!Int,!String,!String,!String,!Float,!String,!Float,!String,!Float
1,미드 영어회화,mid-unit3,3,17,좀 쉬고 싶어.,I wanna take some time off.,snd017_1_1_좀 쉬고 싶어,0,snd017_1_1_I wanna take some time off,1,,
2,미드 영어회화,mid-unit3,3,17,아기를 갖고 싶어.,I wanna baby.,snd017_1_2_아기를 갖고 싶어,,snd017_1_2_I wanna baby,,,
3,미드 영어회화,mid-unit3,3,17,내 사업을 하고 싶어.,I wanna be my own boss.,snd017_1_3_내 사업을 하고 싶어,,snd017_1_3_I wanna be my own boss,,,
